From,To,TE_Historical,TE_Recent,Delta_TE,Connection_Status
Temperature,Wind,0.09538433703510574,0,-0.0954,Vanishing (Yok Olan)
Temperature,Precipitation,0.1875982038884576,0.12918980596438878,-0.0584,Weakened (Zayጟlayan)
Precipitation,ET0,0.14362330516432298,0.2000460334271903,0.0564,Amplified (G|glenen)
Humidity,Precipitation,0.06661332204348991,0.018375754007620593,-0.0482,Weakened (Zayጟlayan)
Radiation,Temperature,0.12137495717979796,0.15566356250552094,0.0343,Amplified (G|glenen)
ET0,Temperature,0.04145976135490059,0.013699595162136369,-0.0278,Weakened (Zayጟlayan)
Wind,Precipitation,0.04665158469925412,0.02029722292028957,-0.0264,Weakened (Zayጟlayan)
Humidity,ET0,0.09752687869468701,0.11666282362434899,0.0191,Amplified (G|glenen)
ET0,Radiation,0.005197071529992492,0.01977558541476032,0.0146,Amplified (G|glenen)
Wind,ET0,0.046255162520672854,0.060736849777819124,0.0145,Amplified (G|glenen)
Radiation,Precipitation,0.13146169241318262,0.14600175873583865,0.0145,Amplified (G|glenen)
Radiation,Humidity,0.09591298010084781,0.10541063188956912,0.0095,Amplified (G|glenen)
Wind,Humidity,0.011216002675833892,0.0032344083618536246,-0.008,Weakened (Zayጟlayan)
Radiation,Wind,0.11251457949895194,0.10787788672209775,-0.0046,Weakened (Zayጟlayan)
Wind,Temperature,0,0.002940360048693691,0.0029,Emerging (Yeni Oluᗺn)
Temperature,Humidity,0.14769496682550276,0.14647418320659522,-0.0012,Weakened (Zayጟlayan)
