City,Cause,Effect,Optimal_Lag,F_Stat,p_value,Is_Significant
Adiyaman,temp_mean,et0_tot,12,4.519,0,Yes
Adiyaman,temp_mean,rh_mean,12,6.425,0,Yes
Adiyaman,precip_tot,rh_mean,12,3.542,1e-4,Yes
Adiyaman,rad_mean,temp_mean,12,5.306,0,Yes
Adiyaman,wind_mean,et0_tot,12,3.811,0,Yes
Batman,temp_mean,et0_tot,12,4.705,0,Yes
Batman,temp_mean,rh_mean,12,7.279,0,Yes
Batman,precip_tot,rh_mean,12,5.542,0,Yes
Batman,rad_mean,temp_mean,12,5.436,0,Yes
Batman,wind_mean,et0_tot,12,1.742,0.0562,No
Diyarbakir,temp_mean,et0_tot,6,33.546,0,Yes
Diyarbakir,temp_mean,rh_mean,6,18.569,0,Yes
Diyarbakir,precip_tot,rh_mean,6,4.577,2e-4,Yes
Diyarbakir,rad_mean,temp_mean,6,21.362,0,Yes
Diyarbakir,wind_mean,et0_tot,6,20.03,0,Yes
Gaziantep,temp_mean,et0_tot,12,3.562,0,Yes
Gaziantep,temp_mean,rh_mean,12,6.832,0,Yes
Gaziantep,precip_tot,rh_mean,12,2.723,0.0015,Yes
Gaziantep,rad_mean,temp_mean,12,4.003,0,Yes
Gaziantep,wind_mean,et0_tot,12,4.428,0,Yes
Kilis,temp_mean,et0_tot,12,4.182,0,Yes
Kilis,temp_mean,rh_mean,12,7.86,0,Yes
Kilis,precip_tot,rh_mean,12,2.558,0.0029,Yes
Kilis,rad_mean,temp_mean,12,4.19,0,Yes
Kilis,wind_mean,et0_tot,12,5.176,0,Yes
Mardin,temp_mean,et0_tot,6,31.668,0,Yes
Mardin,temp_mean,rh_mean,6,16.642,0,Yes
Mardin,precip_tot,rh_mean,6,4.706,1e-4,Yes
Mardin,rad_mean,temp_mean,6,18.621,0,Yes
Mardin,wind_mean,et0_tot,6,9.646,0,Yes
Sanliurfa,temp_mean,et0_tot,11,5.866,0,Yes
Sanliurfa,temp_mean,rh_mean,11,7.623,0,Yes
Sanliurfa,precip_tot,rh_mean,11,3.02,7e-4,Yes
Sanliurfa,rad_mean,temp_mean,11,4.932,0,Yes
Sanliurfa,wind_mean,et0_tot,11,6.104,0,Yes
Siirt,temp_mean,et0_tot,12,4.017,0,Yes
Siirt,temp_mean,rh_mean,12,6.977,0,Yes
Siirt,precip_tot,rh_mean,12,4.737,0,Yes
Siirt,rad_mean,temp_mean,12,4.912,0,Yes
Siirt,wind_mean,et0_tot,12,2.531,0.0032,Yes
Sirnak,temp_mean,et0_tot,12,4.238,0,Yes
Sirnak,temp_mean,rh_mean,12,7.992,0,Yes
Sirnak,precip_tot,rh_mean,12,3.96,0,Yes
Sirnak,rad_mean,temp_mean,12,3.846,0,Yes
Sirnak,wind_mean,et0_tot,12,3.319,1e-4,Yes
