City,Variable,Post_ADF_p,Post_KPSS_p,Is_Stationary
Adiyaman,temp_mean,0.01,0.1,YES
Adiyaman,precip_tot,0.01,0.1,YES
Adiyaman,rh_mean,0.01,0.1,YES
Adiyaman,wind_mean,0.01,0.1,YES
Adiyaman,rad_mean,0.01,0.1,YES
Adiyaman,et0_tot,0.01,0.1,YES
Batman,temp_mean,0.01,0.1,YES
Batman,precip_tot,0.01,0.1,YES
Batman,rh_mean,0.01,0.1,YES
Batman,wind_mean,0.01,0.1,YES
Batman,rad_mean,0.01,0.1,YES
Batman,et0_tot,0.01,0.1,YES
Diyarbakir,temp_mean,0.01,0.1,YES
Diyarbakir,precip_tot,0.01,0.1,YES
Diyarbakir,rh_mean,0.01,0.1,YES
Diyarbakir,wind_mean,0.01,0.1,YES
Diyarbakir,rad_mean,0.01,0.1,YES
Diyarbakir,et0_tot,0.01,0.1,YES
Gaziantep,temp_mean,0.01,0.1,YES
Gaziantep,precip_tot,0.01,0.1,YES
Gaziantep,rh_mean,0.01,0.1,YES
Gaziantep,wind_mean,0.01,0.1,YES
Gaziantep,rad_mean,0.01,0.1,YES
Gaziantep,et0_tot,0.01,0.1,YES
Kilis,temp_mean,0.01,0.1,YES
Kilis,precip_tot,0.01,0.1,YES
Kilis,rh_mean,0.01,0.1,YES
Kilis,wind_mean,0.01,0.1,YES
Kilis,rad_mean,0.01,0.1,YES
Kilis,et0_tot,0.01,0.1,YES
Mardin,temp_mean,0.01,0.1,YES
Mardin,precip_tot,0.01,0.1,YES
Mardin,rh_mean,0.01,0.1,YES
Mardin,wind_mean,0.01,0.1,YES
Mardin,rad_mean,0.01,0.1,YES
Mardin,et0_tot,0.01,0.1,YES
Sanliurfa,temp_mean,0.01,0.1,YES
Sanliurfa,precip_tot,0.01,0.1,YES
Sanliurfa,rh_mean,0.01,0.1,YES
Sanliurfa,wind_mean,0.01,0.1,YES
Sanliurfa,rad_mean,0.01,0.1,YES
Sanliurfa,et0_tot,0.01,0.1,YES
Siirt,temp_mean,0.01,0.1,YES
Siirt,precip_tot,0.01,0.1,YES
Siirt,rh_mean,0.01,0.1,YES
Siirt,wind_mean,0.01,0.1,YES
Siirt,rad_mean,0.01,0.1,YES
Siirt,et0_tot,0.01,0.1,YES
Sirnak,temp_mean,0.01,0.1,YES
Sirnak,precip_tot,0.01,0.1,YES
Sirnak,rh_mean,0.01,0.1,YES
Sirnak,wind_mean,0.01,0.1,YES
Sirnak,rad_mean,0.01,0.1,YES
Sirnak,et0_tot,0.01,0.1,YES
