Window,Period_Center,Density,Variable,Out_Degree,Betweenness
1990-2004,1997.5,0.5,Radiation,4,0.3
1990-2004,1997.5,0.5,Temperature,3,0
1990-2004,1997.5,0.5,Humidity,2,0.1
1990-2004,1997.5,0.5,ET0,2,0.5
1990-2004,1997.5,0.5,Wind,3,0.4
1990-2004,1997.5,0.5,Precipitation,1,0
1995-2009,2002.5,0.5,Radiation,4,0.25
1995-2009,2002.5,0.5,Temperature,3,0.05
1995-2009,2002.5,0.5,Humidity,3,0.15
1995-2009,2002.5,0.5,ET0,2,0.5
1995-2009,2002.5,0.5,Wind,1,0.5
1995-2009,2002.5,0.5,Precipitation,2,0
2000-2014,2007.5,0.5,Radiation,4,0
2000-2014,2007.5,0.5,Temperature,3,0.3
2000-2014,2007.5,0.5,Humidity,2,0.2
2000-2014,2007.5,0.5,ET0,2,0.5
2000-2014,2007.5,0.5,Wind,3,0.4
2000-2014,2007.5,0.5,Precipitation,1,0
2005-2019,2012.5,0.5,Radiation,4,0.25
2005-2019,2012.5,0.5,Temperature,2,0.05
2005-2019,2012.5,0.5,Humidity,3,0.55
2005-2019,2012.5,0.5,ET0,2,0.35
2005-2019,2012.5,0.5,Wind,3,0.35
2005-2019,2012.5,0.5,Precipitation,1,0
2010-2024,2017.5,0.5,Radiation,4,0
2010-2024,2017.5,0.5,Temperature,3,0.3
2010-2024,2017.5,0.5,Humidity,2,0.2
2010-2024,2017.5,0.5,ET0,2,0.5
2010-2024,2017.5,0.5,Wind,3,0.4
2010-2024,2017.5,0.5,Precipitation,1,0
