City,Var_X,Var_Y,TE_X_to_Y,TE_Y_to_X,Net_Information_Flow,Dominant_Direction
Adiyaman,temp_mean,rh_mean,0.2633,0.1481,0.1153,temp_mean ---> rh_mean
Adiyaman,temp_mean,et0_tot,0.4532,0.4569,-0.0037,Symmetric / Bidirectional
Adiyaman,et0_tot,precip_tot,0.2329,0.3729,-0.14,precip_tot ---> et0_tot
Adiyaman,rad_mean,temp_mean,0.5975,0.4425,0.155,rad_mean ---> temp_mean
Adiyaman,wind_mean,et0_tot,0.2879,0.2325,0.0553,wind_mean ---> et0_tot
Adiyaman,rh_mean,precip_tot,0.1959,0.0932,0.1027,rh_mean ---> precip_tot
Batman,temp_mean,rh_mean,0.2898,0.1632,0.1266,temp_mean ---> rh_mean
Batman,temp_mean,et0_tot,0.4932,0.5198,-0.0266,et0_tot ---> temp_mean
Batman,et0_tot,precip_tot,0.209,0.4036,-0.1945,precip_tot ---> et0_tot
Batman,rad_mean,temp_mean,0.5833,0.4508,0.1325,rad_mean ---> temp_mean
Batman,wind_mean,et0_tot,0.1871,0.1735,0.0137,wind_mean ---> et0_tot
Batman,rh_mean,precip_tot,0.1645,0.0977,0.0669,rh_mean ---> precip_tot
Diyarbakir,temp_mean,rh_mean,0.2675,0.1614,0.1062,temp_mean ---> rh_mean
Diyarbakir,temp_mean,et0_tot,0.5021,0.4521,0.05,temp_mean ---> et0_tot
Diyarbakir,et0_tot,precip_tot,0.1839,0.3567,-0.1728,precip_tot ---> et0_tot
Diyarbakir,rad_mean,temp_mean,0.6203,0.4543,0.166,rad_mean ---> temp_mean
Diyarbakir,wind_mean,et0_tot,0.2159,0.1518,0.0641,wind_mean ---> et0_tot
Diyarbakir,rh_mean,precip_tot,0.2003,0.0772,0.123,rh_mean ---> precip_tot
Gaziantep,temp_mean,rh_mean,0.2652,0.13,0.1352,temp_mean ---> rh_mean
Gaziantep,temp_mean,et0_tot,0.4473,0.5042,-0.0569,et0_tot ---> temp_mean
Gaziantep,et0_tot,precip_tot,0.2291,0.3642,-0.1351,precip_tot ---> et0_tot
Gaziantep,rad_mean,temp_mean,0.5442,0.4368,0.1074,rad_mean ---> temp_mean
Gaziantep,wind_mean,et0_tot,0.3255,0.2719,0.0537,wind_mean ---> et0_tot
Gaziantep,rh_mean,precip_tot,0.1425,0.1605,-0.018,precip_tot ---> rh_mean
Kilis,temp_mean,rh_mean,0.3121,0.115,0.1971,temp_mean ---> rh_mean
Kilis,temp_mean,et0_tot,0.5008,0.4934,0.0075,Symmetric / Bidirectional
Kilis,et0_tot,precip_tot,0.1904,0.3622,-0.1718,precip_tot ---> et0_tot
Kilis,rad_mean,temp_mean,0.595,0.4911,0.1039,rad_mean ---> temp_mean
Kilis,wind_mean,et0_tot,0.2867,0.1699,0.1169,wind_mean ---> et0_tot
Kilis,rh_mean,precip_tot,0.1435,0.1912,-0.0477,precip_tot ---> rh_mean
Mardin,temp_mean,rh_mean,0.2614,0.1428,0.1186,temp_mean ---> rh_mean
Mardin,temp_mean,et0_tot,0.4904,0.4473,0.0431,temp_mean ---> et0_tot
Mardin,et0_tot,precip_tot,0.204,0.3477,-0.1437,precip_tot ---> et0_tot
Mardin,rad_mean,temp_mean,0.5683,0.4363,0.132,rad_mean ---> temp_mean
Mardin,wind_mean,et0_tot,0.2328,0.2491,-0.0163,et0_tot ---> wind_mean
Mardin,rh_mean,precip_tot,0.195,0.0952,0.0999,rh_mean ---> precip_tot
Sanliurfa,temp_mean,rh_mean,0.2873,0.1577,0.1296,temp_mean ---> rh_mean
Sanliurfa,temp_mean,et0_tot,0.5057,0.4686,0.0371,temp_mean ---> et0_tot
Sanliurfa,et0_tot,precip_tot,0.2944,0.4068,-0.1124,precip_tot ---> et0_tot
Sanliurfa,rad_mean,temp_mean,0.5802,0.4459,0.1342,rad_mean ---> temp_mean
Sanliurfa,wind_mean,et0_tot,0.2603,0.1907,0.0697,wind_mean ---> et0_tot
Sanliurfa,rh_mean,precip_tot,0.161,0.12,0.0409,rh_mean ---> precip_tot
Siirt,temp_mean,rh_mean,0.3211,0.1937,0.1274,temp_mean ---> rh_mean
Siirt,temp_mean,et0_tot,0.538,0.5815,-0.0435,et0_tot ---> temp_mean
Siirt,et0_tot,precip_tot,0.2285,0.4406,-0.2121,precip_tot ---> et0_tot
Siirt,rad_mean,temp_mean,0.5822,0.4335,0.1487,rad_mean ---> temp_mean
Siirt,wind_mean,et0_tot,0.2547,0.2166,0.038,wind_mean ---> et0_tot
Siirt,rh_mean,precip_tot,0.18,0.0931,0.0869,rh_mean ---> precip_tot
Sirnak,temp_mean,rh_mean,0.3313,0.1759,0.1554,temp_mean ---> rh_mean
Sirnak,temp_mean,et0_tot,0.5014,0.5435,-0.0421,et0_tot ---> temp_mean
Sirnak,et0_tot,precip_tot,0.2489,0.4088,-0.1599,precip_tot ---> et0_tot
Sirnak,rad_mean,temp_mean,0.5213,0.3935,0.1279,rad_mean ---> temp_mean
Sirnak,wind_mean,et0_tot,0.3629,0.3667,-0.0038,Symmetric / Bidirectional
Sirnak,rh_mean,precip_tot,0.1467,0.1025,0.0441,rh_mean ---> precip_tot
